"Date" "HomeTeam" "AwayTeam" "FTHG" "FTAG" "FTR"
"126" "28/11/10" "Mallorca" "Malaga" 2 0 "H"
"127" "28/11/10" "Santander" "La Coruna" 1 0 "H"
"128" "28/11/10" "Sp Gijon" "Sociedad" 1 3 "A"
"129" "28/11/10" "Valencia" "Almeria" 2 1 "H"
"130" "29/11/10" "Barcelona" "Real Madrid" 5 0 "H"
"131" "04/12/10" "Levante" "Ath Madrid" 2 0 "H"
"132" "04/12/10" "Osasuna" "Barcelona" 0 3 "A"
"133" "04/12/10" "Real Madrid" "Valencia" 2 0 "H"
"134" "05/12/10" "Almeria" "Zaragoza" 1 1 "D"
"135" "05/12/10" "Espanol" "Sp Gijon" 1 0 "H"
"136" "05/12/10" "Getafe" "Mallorca" 3 0 "H"
"137" "05/12/10" "Malaga" "Santander" 4 1 "H"
"138" "05/12/10" "Sociedad" "Ath Bilbao" 2 0 "H"
"139" "05/12/10" "Villarreal" "Sevilla" 1 0 "H"
"140" "06/12/10" "La Coruna" "Hercules" 1 0 "H"
"141" "11/12/10" "Ath Madrid" "La Coruna" 2 0 "H"
"142" "11/12/10" "Getafe" "Villarreal" 1 0 "H"
"143" "11/12/10" "Sevilla" "Almeria" 1 3 "A"
"144" "12/12/10" "Ath Bilbao" "Espanol" 2 1 "H"
"145" "12/12/10" "Barcelona" "Sociedad" 5 0 "H"
"146" "12/12/10" "Hercules" "Malaga" 4 1 "H"
"147" "12/12/10" "Mallorca" "Santander" 0 1 "A"
"148" "12/12/10" "Sp Gijon" "Levante" 1 1 "D"
"149" "12/12/10" "Zaragoza" "Real Madrid" 1 3 "A"
"150" "13/12/10" "Valencia" "Osasuna" 3 3 "D"
"151" "18/12/10" "Espanol" "Barcelona" 1 5 "A"
"152" "18/12/10" "La Coruna" "Sp Gijon" 1 1 "D"
"153" "18/12/10" "Levante" "Ath Bilbao" 1 2 "A"
"154" "18/12/10" "Sociedad" "Valencia" 1 2 "A"
"155" "18/12/10" "Villarreal" "Mallorca" 3 1 "H"
"156" "19/12/10" "Almeria" "Getafe" 2 3 "A"
"157" "19/12/10" "Malaga" "Ath Madrid" 0 3 "A"
"158" "19/12/10" "Osasuna" "Zaragoza" 0 0 "D"
"159" "19/12/10" "Real Madrid" "Sevilla" 1 0 "H"
"160" "20/12/10" "Santander" "Hercules" 0 0 "D"
"161" "02/01/11" "Ath Bilbao" "La Coruna" 1 2 "A"
"162" "02/01/11" "Barcelona" "Levante" 2 1 "H"
"163" "02/01/11" "Sevilla" "Osasuna" 1 0 "H"
